subject,Scene,NarrativeVerifiableDetails_JD,LowConfidenceVerifiableDetails_JD,PerceptualVerifiableDetails_JD,Repetitions_JD,Transitions_JD,OtherDetails_JD,CharacterSwitch_JD,ContextSwitch_JD,Comments_JD,NarrativeVerifibleDetails_EM,LowConfidenceVerifiableDetails_EM,PerceptualVerifiableDetails_EM,Repetitions_EM,Transitions_EM,OtherDetails_EM,CharacterSwitch_EM,ContextSwitch_EM,Comments_EM
301,Integrated,6,0,1,,,,,,,1,0,0,,,,,,
302,A,9,0,0,,,,,,,8,0,1,,,,,,
302,B,12,2,0,,,,,,,8,4,0,,,,,,
302,C,9,0,0,,,,,,,8,0,0,,,,,,
302,D,19,0,4,,,,,,,10,0,1,,,,,,
302,E,14,1,0,,,,,,,9,0,1,,,,,,
302,F,0,0,0,,,,,,,0,0,0,,,,,,
302,G,18,0,0,,,,,,,9,0,0,,,,,,
302,H,8,0,1,,,,,,,10,1,2,,,,,,
302,I,5,0,2,,,,,,,6,0,3,,,,,,
302,J,10,0,0,,,,,,,10,0,0,,,,,,
302,K,6,0,0,,,,,,,3,0,1,,,,,,
302,L,6,0,0,,,,,,,4,0,0,,,,,,
302,Either,0,0,0,3,8,49,5,0,character switch with Jeff,3,2,1,17,8,55,5,0,Character switch with Jeff
302,Integrated,2,0,0,,,,,,,0,0,0,,,,,,
303,A,2,1,0,,,,,,,2,3,0,,,,,,
303,B,7,0,0,,,,,,,9,0,0,,,,,,
303,C,5,0,0,,,,,,,4,0,1,,,,,,
303,D,15,1,0,,,,,,,15,2,0,,,,,,
303,E,10,1,0,,,,,,,5,3,0,,,,,,
303,F,0,0,0,,,,,,,2,0,0,,,,,,
303,G,29,0,0,,,,,,,33,0,0,,,,,,
303,H,3,0,0,,,,,,,2,0,0,,,,,,
303,I,8,0,0,,,,,,,4,0,2,,,,,,
303,J,23,0,0,,,,,,,21,0,1,,,,,,
303,K,0,0,0,,,,,,,0,0,0,,,,,,
303,L,2,0,0,,,,,,,4,0,0,,,,,,
303,Either,0,0,0,6,8,64,0,0,0,1,0,1,3,10,81,1,character switch with caterer's assistant,
303,Integrated,1,0,0,,,,,,,2,0,0,,,,,,
304,A,16,1,4,,,,,,,11,0,2,,,,,,
304,B,34,0,0,,,,,,,25,0,1,,,,,,
304,C,24,1,0,,,,,,,19,0,3,,,,,,
304,D,20,0,1,,,,,,,18,0,1,,,,,,
304,E,51,0,4,,,,,,,46,0,3,,,,,,
304,F,10,1,0,,,,,,,8,0,1,,,,,,
304,G,56,2,0,,,,,,,51,0,0,,,,,,
304,H,23,1,0,,,,,,,24,0,3,,,,,,
304,I,22,0,5,,,,,,,10,0,5,,,,,,
304,J,64,0,3,,,,,,,46,0,4,,,,,,
304,K,16,1,1,,,,,,,16,0,2,,,,,,
304,L,8,0,0,,,,,,,5,0,2,,,,,,
304,Either,0,0,0,12,13,60,0,0,0,1,1,0,15,13,145,0,0,0
304,Integrated,1,0,0,,,,,,,0,0,0,,,,,,
305,A,6,0,0,,,,,,,5,0,0,,,,,,
305,B,10,0,0,,,,,,,8,0,0,,,,,,
305,C,0,0,0,,,,,,,0,0,0,,,,,,
305,D,12,0,2,,,,,,,6,0,2,,,,,,
305,E,12,0,1,,,,,,,6,0,1,,,,,,
305,F,0,0,0,,,,,,,0,0,0,,,,,,
305,G,7,0,0,,,,,,,5,0,0,,,,,,
305,H,2,0,0,,,,,,,2,0,0,,,,,,
305,I,0,0,0,,,,,,,0,0,0,,,,,,
305,J,9,0,0,,,,,,,4,0,0,,,,,,
305,K,6,0,3,,,,,,,3,0,2,,,,,,
305,L,6,0,0,,,,,,,3,0,0,,,,,,
305,Either,0,0,0,5,2,64,1,1,character switch with Jeff,3,0,0,5,4,62,0,1,0
305,Integrated,3,0,0,,,,,,,4,0,0,,,,,,
306,A,15,0,1,,,,,,,12,0,0,,,,,,
306,B,10,0,0,,,,,,,6,1,1,,,,,,
306,C,0,0,0,,,,,,,0,0,0,,,,,,
306,D,13,0,0,,,,,,,12,0,0,,,,,,
306,E,31,0,0,,,,,,,23,0,0,,,,,,
306,F,3,0,1,,,,,,,2,0,2,,,,,,
306,G,22,0,1,,,,,,,24,0,2,,,,,,
306,H,7,0,0,,,,,,,7,0,0,,,,,,
306,I,3,0,0,,,,,,,3,0,0,,,,,,
306,J,20,0,1,,,,,,,23,0,3,,,,,,
306,K,0,0,0,,,,,,,0,0,0,,,,,,
306,L,0,0,0,,,,,,,0,0,0,,,,,,
306,Either,0,0,0,6,1,38,0,0,0,0,0,0,14,1,38,7,1,
306,Integrated,4,0,0,,,,,,,2,0,0,,,,,,
307,A,11,3,1,,,,,,,8,1,1,,,,,,
307,B,15,0,0,,,,,,,14,1,0,,,,,,
307,C,9,1,1,,,,,,,4,2,1,,,,,,
307,D,15,4,0,,,,,,,15,3,1,,,,,,
307,E,14,1,0,,,,,,,12,0,1,,,,,,
307,F,6,2,0,,,,,,,9,0,0,,,,,,
307,G,25,6,1,,,,,,,29,5,0,,,,,,
307,H,12,1,0,,,,,,,8,0,0,,,,,,
307,I,5,0,1,,,,,,,4,0,1,,,,,,
307,J,48,3,0,,,,,,,34,3,4,,,,,,
307,K,11,0,2,,,,,,,14,2,0,,,,,,
307,L,3,2,0,,,,,,,8,0,0,,,,,,
307,Either,0,0,1,13,2,76,0,3,0,4,1,1,18,4,100,2,1,character switch with larry
307,Integrated,15,2,0,,,,,,,8,1,0,,,,,,
308,A,11,2,4,,,,,,,7,0,4,,,,,,
308,B,22,0,0,,,,,,,13,3,0,,,,,,
308,C,15,0,2,,,,,,,12,0,2,,,,,,
308,D,20,2,6,,,,,,,18,1,2,,,,,,
308,E,57,0,6,,,,,,,42,2,6,,,,,,
308,F,12,0,0,,,,,,,8,0,2,,,,,,
308,G,79,4,0,,,,,,,53,0,1,,,,,,
308,H,13,0,1,,,,,,,14,0,2,,,,,,
308,I,8,0,0,,,,,,,6,0,1,,,,,,
308,J,58,0,2,,,,,,,38,2,3,,,,,,
308,K,14,0,1,,,,,,,11,0,2,,,,,,
308,L,2,0,0,,,,,,,1,0,1,,,,,,
308,Either,0,0,1,28,10,161,2,2,character switch with Jeff; character switch with Mike,5,3,1,47,14,233,2,6,character switch with Larry
308,Integrated,18,1,2,,,,,,,9,0,1,,,,,,
309,A,1,0,0,,,,,,,1,0,0,,,,,,
309,B,24,1,1,,,,,,,22,1,0,,,,,,
309,C,16,0,0,,,,,,,10,0,0,,,,,,
309,D,26,0,1,,,,,,,19,0,2,,,,,,
309,E,15,0,0,,,,,,,8,0,0,,,,,,
309,F,7,0,0,,,,,,,7,0,0,,,,,,
309,G,28,0,1,,,,,,,29,0,0,,,,,,
309,H,19,0,0,,,,,,,14,0,1,,,,,,
309,I,7,0,1,,,,,,,7,0,0,,,,,,
309,J,26,0,2,,,,,,,20,1,0,,,,,,
309,K,6,0,0,,,,,,,7,0,0,,,,,,
309,L,6,0,0,,,,,,,2,0,1,,,,,,
309,Either,0,0,0,11,3,78,0,1,0,1,1,0,16,2,96,1,1,character switch with cheryl
309,Integrated,4,0,0,,,,,,,2,0,0,,,,,,
310,A,7,0,0,,,,,,,7,0,0,,,,,,
310,B,28,1,0,,,,,,,20,1,0,,,,,,
310,C,5,0,1,,,,,,,9,0,0,,,,,,
310,D,25,0,0,,,,,,,19,0,2,,,,,,
310,E,22,0,0,,,,,,,14,0,2,,,,,,
310,F,4,0,0,,,,,,,2,0,0,,,,,,
310,G,40,0,0,,,,,,,33,0,0,,,,,,
310,H,12,0,0,,,,,,,9,1,0,,,,,,
310,I,3,0,0,,,,,,,2,0,1,,,,,,
310,J,20,0,0,,,,,,,15,0,1,,,,,,
310,K,0,0,0,,,,,,,0,0,0,,,,,,
310,L,9,0,0,,,,,,,6,0,0,,,,,,
310,Either,0,0,0,8,3,56,1,1,character switch with Larry,0,0,0,12,4,69,0,1,
310,Integrated,8,0,0,,,,,,,5,0,0,,,,,,
311,A,9,1,0,,,,,,,5,2,1,,,,,,
311,B,15,0,1,,,,,,,14,2,0,,,,,,
311,C,5,0,0,,,,,,,4,0,0,,,,,,
311,D,8,0,0,,,,,,,8,0,1,,,,,,
311,E,16,0,2,,,,,,,9,3,1,,,,,,
311,F,0,0,0,,,,,,,0,0,0,,,,,,
311,G,11,0,0,,,,,,,12,0,0,,,,,,
311,H,3,0,0,,,,,,,4,0,0,,,,,,
311,I,5,0,2,,,,,,,2,2,2,,,,,,
311,J,12,0,0,,,,,,,14,0,0,,,,,,
311,K,2,0,1,,,,,,,0,0,1,,,,,,
311,L,6,0,0,,,,,,,2,0,3,,,,,,
311,Either,2,0,0,0,6,29,0,1,0,2,0,0,5,7,33,0,1,
311,Integrated,13,0,0,,,,,,,2,0,0,,,,,,
312,A,14,3,2,,,,,,,9,0,1,,,,,,
312,B,13,4,0,,,,,,,10,2,0,,,,,,
312,C,3,2,3,,,,,,,4,0,1,,,,,,
312,D,20,0,3,,,,,,,13,0,3,,,,,,
312,E,15,0,2,,,,,,,14,0,2,,,,,,
312,F,2,0,0,,,,,,,2,0,0,,,,,,
312,G,40,4,3,,,,,,,19,5,2,,,,,,
312,H,16,0,0,,,,,,,9,1,2,,,,,,
312,I,5,0,0,,,,,,,2,0,0,,,,,,
312,J,38,0,0,,,,,,,22,0,2,,,,,,
312,K,14,0,0,,,,,,,13,0,1,,,,,,
312,L,3,0,1,,,,,,,2,0,2,,,,,,
312,Either,1,0,2,18,6,67,2,1,character switch with Julie; character switch with Larry,10,2,1,19,8,84,4,3,character switch with Cheryl
312,Integrated,25,2,0,,,,,,,18,0,1,,,,,,
313,A,11,0,2,,,,,,,8,0,2,,,,,,
313,B,24,2,0,,,,,,,20,2,0,,,,,,
313,C,6,1,0,,,,,,,6,0,0,,,,,,
313,D,18,0,0,,,,,,,12,0,1,,,,,,
313,E,26,1,2,,,,,,,16,0,1,,,,,,
313,F,6,3,0,,,,,,,5,2,0,,,,,,
313,G,34,0,0,,,,,,,24,0,0,,,,,,
313,H,12,0,0,,,,,,,6,2,0,,,,,,
313,I,5,0,0,,,,,,,7,0,0,,,,,,
313,J,36,0,1,,,,,,,24,0,1,,,,,,
313,K,8,0,1,,,,,,,3,1,1,,,,,,
313,L,2,4,0,,,,,,,6,0,0,,,,,,
313,Either,0,0,0,3,6,38,5,5,character switch with Jeff; character switch with Larry,0,0,0,12,4,67,9,3,"character switch with Jeff, Cheryl and Maggie"
313,Integrated,7,4,0,,,,,,,2,0,0,,,,,,
314,A,8,2,0,,,,,,,7,2,0,,,,,,
314,B,20,0,0,,,,,,,16,0,0,,,,,,
314,C,8,0,0,,,,,,,6,0,0,,,,,,
314,D,19,0,1,,,,,,,12,0,4,,,,,,
314,E,23,0,0,,,,,,,12,0,0,,,,,,
314,F,5,0,1,,,,,,,6,0,0,,,,,,
314,G,22,0,0,,,,,,,22,2,0,,,,,,
314,H,7,0,2,,,,,,,6,0,1,,,,,,
314,I,5,0,0,,,,,,,5,0,0,,,,,,
314,J,26,0,1,,,,,,,13,0,5,,,,,,
314,K,8,0,1,,,,,,,2,0,0,,,,,,
314,L,6,2,0,,,,,,,3,1,1,,,,,,
314,Either,0,0,0,0,12,34,3,0,"character switch with Larry, Cheryl, the caterer",1,0,0,7,9,27,1,1,character switch with Larry
314,Integrated,6,0,0,,,,,,,8,0,0,,,,,,
315,A,9,2,2,,,,,,,5,1,1,,,,,,
