subject,Scene,NarrativeVerifiableDetails_JD,LowConfidenceVerifiableDetails_JD,PerceptualVerifiableDetails_JD,Repetitions_JD,Transitions_JD,OtherDetails_JD,CharacterSwitch_JD,ContextSwitch_JD,Comments_JD,NarrativeVerifibleDetails_EM,LowConfidenceVerifiableDetails_EM,PerceptualVerifiableDetails_EM,Repetitions_EM,Transitions_EM,OtherDetails_EM,CharacterSwitch_EM,ContextSwitch_EM,Comments_EM
319,C,7,0,0,,,,,,,7,0,1,,,,,,
319,D,22,0,0,,,,,,,13,0,2,,,,,,
319,E,26,2,3,,,,,,,15,0,4,,,,,,
319,F,11,0,1,,,,,,,6,0,1,,,,,,
319,G,40,0,0,,,,,,,15,2,2,,,,,,
319,H,8,0,0,,,,,,,10,0,0,,,,,,
319,I,10,0,1,,,,,,,7,0,0,,,,,,
319,J,32,0,2,,,,,,,19,0,0,,,,,,
319,K,7,0,0,,,,,,,3,0,0,,,,,,
319,L,8,1,0,,,,,,,3,0,2,,,,,,
319,Either,1,0,1,41,18,108,0,4,,3,1,1,28,12,76,0,0,
319,Integrated,29,1,0,,,,,,,9,0,0,,,,,,
220,A,7,0,6,,,,,,,3,0,6,,,,,,
220,B,3,0,3,,,,,,,3,1,1,,,,,,
220,C,0,0,0,,,,,,,0,0,0,,,,,,
220,D,4,2,1,,,,,,,5,2,2,,,,,,
220,E,5,0,0,,,,,,,6,0,0,,,,,,
220,F,0,0,0,,,,,,,0,0,0,,,,,,
220,G,1,0,0,,,,,,,0,0,0,,,,,,
220,H,0,0,0,,,,,,,0,0,0,,,,,,
220,I,0,0,0,,,,,,,0,0,0,,,,,,
220,J,0,0,0,,,,,,,0,0,0,,,,,,
220,K,0,0,0,,,,,,,0,0,0,,,,,,
220,L,0,0,0,,,,,,,0,0,0,,,,,,
220,Either,0,0,0,0,1,18,0,0,,0,1,0,0,0,19,0,0,
220,Integrated,4,0,0,,,,,,,0,0,0,,,,,,
221,A,14,0,7,,,,,,,11,0,3,,,,,,
221,B,29,0,1,,,,,,,17,0,0,,,,,,
221,C,17,0,0,,,,,,,13,0,0,,,,,,
221,D,20,0,1,,,,,,,19,0,0,,,,,,
221,E,42,0,11,,,,,,,29,1,2,,,,,,
221,F,0,0,0,,,,,,,0,0,0,,,,,,
221,G,38,0,2,,,,,,,30,1,2,,,,,,
221,H,14,0,0,,,,,,,9,0,0,,,,,,
221,I,6,0,2,,,,,,,3,0,3,,,,,,
221,J,0,0,0,,,,,,,0,0,0,,,,,,
221,K,12,0,2,,,,,,,11,0,0,,,,,,
221,L,1,0,3,,,,,,,1,0,2,,,,,,
221,Either,2,1,0,6,3,40,0,0,,0,0,0,8,0,90,0,0,
221,Integrated,10,0,0,,,,,,,0,0,0,,,,,,
320,A,10,0,7,,,,,,,7,0,3,,,,,,
320,B,16,0,12,,,,,,,25,0,6,,,,,,
320,C,15,0,7,,,,,,,16,0,0,,,,,,
320,D,40,2,10,,,,,,,25,1,0,,,,,,
320,E,114,2,27,,,,,,,63,1,12,,,,,,
320,F,12,0,11,,,,,,,8,0,5,,,,,,
320,G,58,0,9,,,,,,,49,0,0,,,,,,
320,H,23,0,15,,,,,,,21,0,2,,,,,,
320,I,11,0,18,,,,,,,11,0,9,,,,,,
320,J,58,0,11,,,,,,,33,0,3,,,,,,
320,K,14,0,6,,,,,,,6,0,1,,,,,,
320,L,8,0,6,,,,,,,8,0,0,,,,,,
320,Either,2,0,0,45,18,86,1,30,character switch with Julie,2,0,1,38,14,153,4,0,"character switch with Larry, Cheryl and Mike"
320,Integrated,14,1,0,,,,,,,12,0,0,,,,,,
216,A,9,2,8,,,,,,,8,1,2,,,,,,
216,B,33,7,0,,,,,,,21,1,0,,,,,,
216,C,19,1,5,,,,,,,12,1,0,,,,,,
216,D,36,2,5,,,,,,,24,2,0,,,,,,
216,E,58,7,17,,,,,,,35,4,0,,,,,,
216,F,15,0,0,,,,,,,10,0,0,,,,,,
216,G,59,2,0,,,,,,,36,1,1,,,,,,
216,H,14,3,0,,,,,,,5,4,0,,,,,,
216,I,5,0,0,,,,,,,4,0,0,,,,,,
216,J,41,0,1,,,,,,,30,0,0,,,,,,
216,K,15,2,2,,,,,,,14,0,0,,,,,,
216,L,2,0,0,,,,,,,0,1,0,,,,,,
216,Either,6,1,0,40,12,151,13,2,character switch with Larry and homeless man,1,0,0,53,8,229,3,3,character switch with Larry 
216,Integrated,23,4,0,,,,,,,0,1,0,,,,,,
